19/09/20 21:20:17 WARN util.NativeCodeLoader: Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
19/09/20 21:20:28 WARN optim.DistriOptimizer$: Input formats NCHW by default, Please set explicitly if needed
19/09/20 21:20:28 WARN optim.DistriOptimizer$: Output formats NC by default, Please set explicitly if needed
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000944.JPEG.jpg , Iteration 0 , takes 0.006739817 s, throughput is 148.37 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000299.JPEG.jpg , Iteration 0 , takes 0.006782044 s, throughput is 147.45 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000789.JPEG.jpg , Iteration 0 , takes 0.00675867 s, throughput is 147.96 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000495.JPEG.jpg , Iteration 0 , takes 0.007127507 s, throughput is 140.30 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000802.JPEG.jpg , Iteration 0 , takes 0.007003617 s, throughput is 142.78 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000905.JPEG.jpg , Iteration 0 , takes 0.007122405 s, throughput is 140.40 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000371.JPEG.jpg , Iteration 0 , takes 0.006700981 s, throughput is 149.23 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000702.JPEG.jpg , Iteration 0 , takes 0.006618854 s, throughput is 151.08 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000181.JPEG.jpg , Iteration 0 , takes 0.006677444 s, throughput is 149.76 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000048.JPEG.jpg , Iteration 0 , takes 0.006927964 s, throughput is 144.34 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000140.JPEG.jpg , Iteration 0 , takes 0.006596377 s, throughput is 151.60 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000040.JPEG.jpg , Iteration 0 , takes 0.007026367 s, throughput is 142.32 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000278.JPEG.jpg , Iteration 0 , takes 0.007823316 s, throughput is 127.82 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000175.JPEG.jpg , Iteration 0 , takes 0.006621492 s, throughput is 151.02 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000392.JPEG.jpg , Iteration 0 , takes 0.006570185 s, throughput is 152.20 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000067.JPEG.jpg , Iteration 0 , takes 0.006607283 s, throughput is 151.35 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000353.JPEG.jpg , Iteration 0 , takes 0.006780618 s, throughput is 147.48 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000464.JPEG.jpg , Iteration 0 , takes 0.006982314 s, throughput is 143.22 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000814.JPEG.jpg , Iteration 0 , takes 0.006576381 s, throughput is 152.06 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000077.JPEG.jpg , Iteration 0 , takes 0.006611891 s, throughput is 151.24 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000934.JPEG.jpg , Iteration 0 , takes 0.006562441 s, throughput is 152.38 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000280.JPEG.jpg , Iteration 0 , takes 0.00659367 s, throughput is 151.66 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000382.JPEG.jpg , Iteration 0 , takes 0.006696034 s, throughput is 149.34 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000740.JPEG.jpg , Iteration 0 , takes 0.006593452 s, throughput is 151.67 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000049.JPEG.jpg , Iteration 0 , takes 0.039010409 s, throughput is 25.63 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000945.JPEG.jpg , Iteration 0 , takes 0.007610996 s, throughput is 131.39 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000509.JPEG.jpg , Iteration 0 , takes 0.006626757 s, throughput is 150.90 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000850.JPEG.jpg , Iteration 0 , takes 0.006612884 s, throughput is 151.22 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000408.JPEG.jpg , Iteration 0 , takes 0.006531195 s, throughput is 153.11 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000803.JPEG.jpg , Iteration 0 , takes 0.006567907 s, throughput is 152.26 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000835.JPEG.jpg , Iteration 0 , takes 0.006664473 s, throughput is 150.05 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000384.JPEG.jpg , Iteration 0 , takes 0.006788808 s, throughput is 147.30 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000412.JPEG.jpg , Iteration 0 , takes 0.006554316 s, throughput is 152.57 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000705.JPEG.jpg , Iteration 0 , takes 0.006514295 s, throughput is 153.51 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000725.JPEG.jpg , Iteration 0 , takes 0.006543775 s, throughput is 152.82 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000367.JPEG.jpg , Iteration 0 , takes 0.006591732 s, throughput is 151.71 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000439.JPEG.jpg , Iteration 0 , takes 0.006552269 s, throughput is 152.62 imgs/sec
